procedimento,2022,total,municipio_ibge,competencia
0101020066 APLICACAO DE SELANTE (POR DENTE),14,14,130260,2022-02-01
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),61,61,130260,2022-02-01
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,26,26,130260,2022-02-01
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,105,105,130260,2022-02-01
0101020104 ORIENTACAO DE HIGIENE BUCAL,281,281,130260,2022-02-01
0101020120 ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS,7,7,130260,2022-02-01
0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,29,29,130260,2022-02-01
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,11,11,130260,2022-02-01
0101040032 COLETA EXTERNA DE LEITE MATERNO (POR DOADORA),15,15,130260,2022-02-01
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,73,73,130260,2022-02-01
0201010046 BIOPSIA DE ANUS E CANAL ANAL,6,6,130260,2022-02-01
0201010216 BIOPSIA DE FIGADO POR PUNCAO,1,1,130260,2022-02-01
0201010224 BIOPSIA DE GANGLIO LINFATICO,6,6,130260,2022-02-01
0201010232 BIOPSIA DE GLANDULA SALIVAR,6,6,130260,2022-02-01
0201010275 BIOPSIA DE MEDULA OSSEA,3,3,130260,2022-02-01
0201010356 BIOPSIA DE PALPEBRA,1,1,130260,2022-02-01
0201010372 BIOPSIA DE PELE E PARTES MOLES,264,264,130260,2022-02-01
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1,1,130260,2022-02-01
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,43,43,130260,2022-02-01
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,51,51,130260,2022-02-01
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,8,8,130260,2022-02-01
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,11,11,130260,2022-02-01
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,4,4,130260,2022-02-01
0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,3,3,130260,2022-02-01
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,39,39,130260,2022-02-01
0201010631 PUNCAO LOMBAR,1,1,130260,2022-02-01
0201010666 BIOPSIA DO COLO UTERINO,90,90,130260,2022-02-01
0201020017 COLETA DE LAVADO BRONCO-ALVEOLAR,7,7,130260,2022-02-01
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,96,96,130260,2022-02-01
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,4373,4373,130260,2022-02-01
0202010015 CLEARANCE OSMOLAR,1,1,130260,2022-02-01
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,165,165,130260,2022-02-01
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,4,4,130260,2022-02-01
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),250,250,130260,2022-02-01
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1,1,130260,2022-02-01
0202010066 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS),1,1,130260,2022-02-01
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),18,18,130260,2022-02-01
0202010082 DETERMINACAO DE OSMOLARIDADE,2,2,130260,2022-02-01
0202010090 DOSAGEM DE 5-NUCLEOTIDASE,3,3,130260,2022-02-01
0202010104 DOSAGEM DE ACETONA,731,731,130260,2022-02-01
0202010112 DOSAGEM DE ACIDO ASCORBICO,140,140,130260,2022-02-01
0202010120 DOSAGEM DE ACIDO URICO,4030,4030,130260,2022-02-01
0202010147 DOSAGEM DE ALDOLASE,52,52,130260,2022-02-01
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,4,4,130260,2022-02-01
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,18,18,130260,2022-02-01
0202010171 DOSAGEM DE ALFA-2-MACROGLOBULINA,2,2,130260,2022-02-01
0202010180 DOSAGEM DE AMILASE,632,632,130260,2022-02-01
0202010198 DOSAGEM DE AMONIA,1,1,130260,2022-02-01
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,2059,2059,130260,2022-02-01
0202010210 DOSAGEM DE CALCIO,2703,2703,130260,2022-02-01
0202010228 DOSAGEM DE CALCIO IONIZAVEL,797,797,130260,2022-02-01
0202010236 DOSAGEM DE CAROTENO,1,1,130260,2022-02-01
0202010252 DOSAGEM DE CERULOPLASMINA,11,11,130260,2022-02-01
0202010260 DOSAGEM DE CLORETO,770,770,130260,2022-02-01
0202010279 DOSAGEM DE COLESTEROL HDL,11063,11063,130260,2022-02-01
0202010287 DOSAGEM DE COLESTEROL LDL,9152,9152,130260,2022-02-01
0202010295 DOSAGEM DE COLESTEROL TOTAL,14549,14549,130260,2022-02-01
0202010317 DOSAGEM DE CREATININA,11950,11950,130260,2022-02-01
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),927,927,130260,2022-02-01
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,344,344,130260,2022-02-01
0202010341 DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA,2,2,130260,2022-02-01
0202010350 DOSAGEM DE DESIDROGENASE GLUTAMICA,5,5,130260,2022-02-01
0202010368 DOSAGEM DE DESIDROGENASE LATICA,715,715,130260,2022-02-01
0202010376 DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS),1,1,130260,2022-02-01
0202010384 DOSAGEM DE FERRITINA,2487,2487,130260,2022-02-01
0202010392 DOSAGEM DE FERRO SERICO,1742,1742,130260,2022-02-01
0202010406 DOSAGEM DE FOLATO,456,456,130260,2022-02-01
0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL,9,9,130260,2022-02-01
0202010422 DOSAGEM DE FOSFATASE ALCALINA,2733,2733,130260,2022-02-01
0202010430 DOSAGEM DE FOSFORO,1925,1925,130260,2022-02-01
0202010449 DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA,2,2,130260,2022-02-01
0202010457 DOSAGEM DE GALACTOSE,1,1,130260,2022-02-01
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),2960,2960,130260,2022-02-01
0202010473 DOSAGEM DE GLICOSE,14637,14637,130260,2022-02-01
0202010481 DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,2,2,130260,2022-02-01
0202010490 DOSAGEM DE HAPTOGLOBINA,1,1,130260,2022-02-01
0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA,6026,6026,130260,2022-02-01
0202010538 DOSAGEM DE LACTATO,53,53,130260,2022-02-01
0202010554 DOSAGEM DE LIPASE,445,445,130260,2022-02-01
0202010562 DOSAGEM DE MAGNESIO,1541,1541,130260,2022-02-01
0202010570 DOSAGEM DE MUCO-PROTEINAS,58,58,130260,2022-02-01
0202010589 DOSAGEM DE PIRUVATO,3,3,130260,2022-02-01
0202010600 DOSAGEM DE POTASSIO,5334,5334,130260,2022-02-01
0202010619 DOSAGEM DE PROTEINAS TOTAIS,68,68,130260,2022-02-01
