procedimento,2021,total,municipio_ibge,competencia
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),57,57,130260,2021-06
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,86,86,130260,2021-06
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,117,117,130260,2021-06
0101020104 ORIENTACAO DE HIGIENE BUCAL,164,164,130260,2021-06
0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,1,1,130260,2021-06
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,13,13,130260,2021-06
0101040024 AVALIACAO ANTROPOMETRICA,10,10,130260,2021-06
0101050020 TERAPIA COMUNITARIA,2,2,130260,2021-06
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,86,86,130260,2021-06
0201010046 BIOPSIA DE ANUS E CANAL ANAL,9,9,130260,2021-06
0201010216 BIOPSIA DE FIGADO POR PUNCAO,3,3,130260,2021-06
0201010224 BIOPSIA DE GANGLIO LINFATICO,7,7,130260,2021-06
0201010232 BIOPSIA DE GLANDULA SALIVAR,9,9,130260,2021-06
0201010275 BIOPSIA DE MEDULA OSSEA,29,29,130260,2021-06
0201010348 BIOPSIA DE OSSO DO CRANIO E DA FACE,1,1,130260,2021-06
0201010372 BIOPSIA DE PELE E PARTES MOLES,100,100,130260,2021-06
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1,1,130260,2021-06
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,44,44,130260,2021-06
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,62,62,130260,2021-06
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,7,7,130260,2021-06
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,4,4,130260,2021-06
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,2,2,130260,2021-06
0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,1,1,130260,2021-06
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,52,52,130260,2021-06
0201010666 BIOPSIA DO COLO UTERINO,96,96,130260,2021-06
0201020017 COLETA DE LAVADO BRONCO-ALVEOLAR,6,6,130260,2021-06
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,155,155,130260,2021-06
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,880,880,130260,2021-06
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,1,1,130260,2021-06
0202010015 CLEARANCE OSMOLAR,1,1,130260,2021-06
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,248,248,130260,2021-06
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,4,4,130260,2021-06
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),320,320,130260,2021-06
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1,1,130260,2021-06
0202010066 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS),1,1,130260,2021-06
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),25,25,130260,2021-06
0202010082 DETERMINACAO DE OSMOLARIDADE,2,2,130260,2021-06
0202010104 DOSAGEM DE ACETONA,1,1,130260,2021-06
0202010112 DOSAGEM DE ACIDO ASCORBICO,64,64,130260,2021-06
0202010120 DOSAGEM DE ACIDO URICO,4733,4733,130260,2021-06
0202010147 DOSAGEM DE ALDOLASE,29,29,130260,2021-06
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,1,1,130260,2021-06
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,3,3,130260,2021-06
0202010180 DOSAGEM DE AMILASE,484,484,130260,2021-06
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,2090,2090,130260,2021-06
0202010210 DOSAGEM DE CALCIO,2599,2599,130260,2021-06
0202010228 DOSAGEM DE CALCIO IONIZAVEL,436,436,130260,2021-06
0202010236 DOSAGEM DE CAROTENO,1,1,130260,2021-06
0202010252 DOSAGEM DE CERULOPLASMINA,2,2,130260,2021-06
0202010260 DOSAGEM DE CLORETO,508,508,130260,2021-06
0202010279 DOSAGEM DE COLESTEROL HDL,11851,11851,130260,2021-06
0202010287 DOSAGEM DE COLESTEROL LDL,9769,9769,130260,2021-06
0202010295 DOSAGEM DE COLESTEROL TOTAL,15460,15460,130260,2021-06
0202010317 DOSAGEM DE CREATININA,11768,11768,130260,2021-06
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),680,680,130260,2021-06
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,242,242,130260,2021-06
0202010341 DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA,1,1,130260,2021-06
0202010350 DOSAGEM DE DESIDROGENASE GLUTAMICA,2,2,130260,2021-06
0202010368 DOSAGEM DE DESIDROGENASE LATICA,527,527,130260,2021-06
0202010384 DOSAGEM DE FERRITINA,2155,2155,130260,2021-06
0202010392 DOSAGEM DE FERRO SERICO,1666,1666,130260,2021-06
0202010406 DOSAGEM DE FOLATO,284,284,130260,2021-06
0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL,2,2,130260,2021-06
0202010422 DOSAGEM DE FOSFATASE ALCALINA,2706,2706,130260,2021-06
0202010430 DOSAGEM DE FOSFORO,1548,1548,130260,2021-06
0202010449 DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA,2,2,130260,2021-06
0202010457 DOSAGEM DE GALACTOSE,1,1,130260,2021-06
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),2560,2560,130260,2021-06
0202010473 DOSAGEM DE GLICOSE,16371,16371,130260,2021-06
0202010481 DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,8,8,130260,2021-06
0202010490 DOSAGEM DE HAPTOGLOBINA,2,2,130260,2021-06
0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA,5869,5869,130260,2021-06
0202010538 DOSAGEM DE LACTATO,19,19,130260,2021-06
