procedimento,2020,total,municipio_ibge,competencia,2022,2021
0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,1.0,1,130260,2020-05,,
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,12.0,12,130260,2020-05,,
0101040024 AVALIACAO ANTROPOMETRICA,1.0,1,130260,2020-05,,
0201010046 BIOPSIA DE ANUS E CANAL ANAL,2.0,2,130260,2020-05,,
0201010224 BIOPSIA DE GANGLIO LINFATICO,3.0,3,130260,2020-05,,
0201010275 BIOPSIA DE MEDULA OSSEA,8.0,8,130260,2020-05,,
0201010372 BIOPSIA DE PELE E PARTES MOLES,13.0,13,130260,2020-05,,
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,6.0,6,130260,2020-05,,
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,7.0,7,130260,2020-05,,
0201010518 BIOPSIA/PUNCAO DE VULVA,1.0,1,130260,2020-05,,
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,1.0,1,130260,2020-05,,
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,2.0,2,130260,2020-05,,
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,2.0,2,130260,2020-05,,
0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,4.0,4,130260,2020-05,,
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,26.0,26,130260,2020-05,,
0201010666 BIOPSIA DO COLO UTERINO,24.0,24,130260,2020-05,,
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,9.0,9,130260,2020-05,,
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,277.0,277,130260,2020-05,,
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,17.0,17,130260,2020-05,,
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,140.0,140,130260,2020-05,,
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),94.0,94,130260,2020-05,,
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1.0,1,130260,2020-05,,
0202010066 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS),1.0,1,130260,2020-05,,
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),21.0,21,130260,2020-05,,
0202010112 DOSAGEM DE ACIDO ASCORBICO,8.0,8,130260,2020-05,,
0202010120 DOSAGEM DE ACIDO URICO,813.0,813,130260,2020-05,,
0202010147 DOSAGEM DE ALDOLASE,9.0,9,130260,2020-05,,
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,1.0,1,130260,2020-05,,
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,4.0,4,130260,2020-05,,
0202010180 DOSAGEM DE AMILASE,133.0,133,130260,2020-05,,
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,811.0,811,130260,2020-05,,
0202010210 DOSAGEM DE CALCIO,1428.0,1428,130260,2020-05,,
0202010228 DOSAGEM DE CALCIO IONIZAVEL,116.0,116,130260,2020-05,,
0202010252 DOSAGEM DE CERULOPLASMINA,1.0,1,130260,2020-05,,
0202010260 DOSAGEM DE CLORETO,111.0,111,130260,2020-05,,
0202010279 DOSAGEM DE COLESTEROL HDL,1913.0,1913,130260,2020-05,,
0202010287 DOSAGEM DE COLESTEROL LDL,1895.0,1895,130260,2020-05,,
0202010295 DOSAGEM DE COLESTEROL TOTAL,2340.0,2340,130260,2020-05,,
0202010317 DOSAGEM DE CREATININA,3631.0,3631,130260,2020-05,,
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),668.0,668,130260,2020-05,,
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,156.0,156,130260,2020-05,,
0202010368 DOSAGEM DE DESIDROGENASE LATICA,548.0,548,130260,2020-05,,
0202010384 DOSAGEM DE FERRITINA,555.0,555,130260,2020-05,,
0202010392 DOSAGEM DE FERRO SERICO,399.0,399,130260,2020-05,,
0202010406 DOSAGEM DE FOLATO,50.0,50,130260,2020-05,,
0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL,2.0,2,130260,2020-05,,
0202010422 DOSAGEM DE FOSFATASE ALCALINA,756.0,756,130260,2020-05,,
0202010430 DOSAGEM DE FOSFORO,1244.0,1244,130260,2020-05,,
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),677.0,677,130260,2020-05,,
0202010473 DOSAGEM DE GLICOSE,3710.0,3710,130260,2020-05,,
0202010481 DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,3.0,3,130260,2020-05,,
0202010490 DOSAGEM DE HAPTOGLOBINA,1.0,1,130260,2020-05,,
0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA,1066.0,1066,130260,2020-05,,
0202010538 DOSAGEM DE LACTATO,20.0,20,130260,2020-05,,
0202010554 DOSAGEM DE LIPASE,101.0,101,130260,2020-05,,
0202010562 DOSAGEM DE MAGNESIO,378.0,378,130260,2020-05,,
0202010570 DOSAGEM DE MUCO-PROTEINAS,20.0,20,130260,2020-05,,
0202010589 DOSAGEM DE PIRUVATO,1.0,1,130260,2020-05,,
0202010600 DOSAGEM DE POTASSIO,2319.0,2319,130260,2020-05,,
