procedimento,2020,total,municipio_ibge,competencia,sexo
0101020066 APLICACAO DE SELANTE (POR DENTE),7,7,130260,2020-10,M
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),12,12,130260,2020-10,M
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,7,7,130260,2020-10,M
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,45,45,130260,2020-10,M
0101020104 ORIENTACAO DE HIGIENE BUCAL,25,25,130260,2020-10,M
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,11,11,130260,2020-10,M
0101050070 SESSAO DE MEDITACAO,16,16,130260,2020-10,M
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,10,10,130260,2020-10,M
0201010046 BIOPSIA DE ANUS E CANAL ANAL,9,9,130260,2020-10,M
0201010224 BIOPSIA DE GANGLIO LINFATICO,7,7,130260,2020-10,M
0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),2,2,130260,2020-10,M
0201010275 BIOPSIA DE MEDULA OSSEA,12,12,130260,2020-10,M
0201010305 BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO),1,1,130260,2020-10,M
0201010321 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO),2,2,130260,2020-10,M
0201010372 BIOPSIA DE PELE E PARTES MOLES,94,94,130260,2020-10,M
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),2,2,130260,2020-10,M
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,31,31,130260,2020-10,M
0201010437 BIOPSIA DE RIM POR PUNCAO,1,1,130260,2020-10,M
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,7,7,130260,2020-10,M
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,3,3,130260,2020-10,M
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,2,2,130260,2020-10,M
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,1,1,130260,2020-10,M
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,1,1,130260,2020-10,M
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,262,262,130260,2020-10,M
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,10,10,130260,2020-10,M
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,87,87,130260,2020-10,M
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),90,90,130260,2020-10,M
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1,1,130260,2020-10,M
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),2,2,130260,2020-10,M
0202010112 DOSAGEM DE ACIDO ASCORBICO,13,13,130260,2020-10,M
0202010120 DOSAGEM DE ACIDO URICO,1284,1284,130260,2020-10,M
0202010147 DOSAGEM DE ALDOLASE,5,5,130260,2020-10,M
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,1,1,130260,2020-10,M
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,10,10,130260,2020-10,M
0202010180 DOSAGEM DE AMILASE,121,121,130260,2020-10,M
0202010198 DOSAGEM DE AMONIA,1,1,130260,2020-10,M
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,588,588,130260,2020-10,M
0202010210 DOSAGEM DE CALCIO,913,913,130260,2020-10,M
0202010228 DOSAGEM DE CALCIO IONIZAVEL,32,32,130260,2020-10,M
0202010252 DOSAGEM DE CERULOPLASMINA,2,2,130260,2020-10,M
0202010260 DOSAGEM DE CLORETO,99,99,130260,2020-10,M
0202010279 DOSAGEM DE COLESTEROL HDL,2743,2743,130260,2020-10,M
0202010287 DOSAGEM DE COLESTEROL LDL,2653,2653,130260,2020-10,M
0202010295 DOSAGEM DE COLESTEROL TOTAL,3269,3269,130260,2020-10,M
0202010309 DOSAGEM DE COLINESTERASE,3,3,130260,2020-10,M
0202010317 DOSAGEM DE CREATININA,3516,3516,130260,2020-10,M
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),117,117,130260,2020-10,M
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,62,62,130260,2020-10,M
0202010368 DOSAGEM DE DESIDROGENASE LATICA,56,56,130260,2020-10,M
0202010384 DOSAGEM DE FERRITINA,568,568,130260,2020-10,M
0202010392 DOSAGEM DE FERRO SERICO,366,366,130260,2020-10,M
0202010406 DOSAGEM DE FOLATO,37,37,130260,2020-10,M
0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL,1,1,130260,2020-10,M
0202010422 DOSAGEM DE FOSFATASE ALCALINA,836,836,130260,2020-10,M
0202010430 DOSAGEM DE FOSFORO,642,642,130260,2020-10,M
0202010449 DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA,1,1,130260,2020-10,M
0202010457 DOSAGEM DE GALACTOSE,3,3,130260,2020-10,M
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),880,880,130260,2020-10,M
0202010473 DOSAGEM DE GLICOSE,4190,4190,130260,2020-10,M
0202010481 DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,2,2,130260,2020-10,M
0202010490 DOSAGEM DE HAPTOGLOBINA,1,1,130260,2020-10,M
0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA,1522,1522,130260,2020-10,M
0202010538 DOSAGEM DE LACTATO,3,3,130260,2020-10,M
0202010554 DOSAGEM DE LIPASE,60,60,130260,2020-10,M
0202010562 DOSAGEM DE MAGNESIO,340,340,130260,2020-10,M
0202010570 DOSAGEM DE MUCO-PROTEINAS,7,7,130260,2020-10,M
0202010600 DOSAGEM DE POTASSIO,1522,1522,130260,2020-10,M
0202010619 DOSAGEM DE PROTEINAS TOTAIS,19,19,130260,2020-10,M
0202010627 DOSAGEM DE PROTEINAS TOTAIS E FRACOES,279,279,130260,2020-10,M
0202010635 DOSAGEM DE SODIO,992,992,130260,2020-10,M
0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO),2402,2402,130260,2020-10,M
0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP),2987,2987,130260,2020-10,M
0202010660 DOSAGEM DE TRANSFERRINA,251,251,130260,2020-10,M
0202010678 DOSAGEM DE TRIGLICERIDEOS,2987,2987,130260,2020-10,M
0202010686 DOSAGEM DE TRIPTOFANO,3,3,130260,2020-10,M
0202010694 DOSAGEM DE UREIA,3922,3922,130260,2020-10,M
0202010708 DOSAGEM DE VITAMINA B12,313,313,130260,2020-10,M
0202010716 ELETROFORESE DE LIPOPROTEINAS,1,1,130260,2020-10,M
0202010724 ELETROFORESE DE PROTEINAS,13,13,130260,2020-10,M
0202010732 GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE ),27,27,130260,2020-10,M
0202010759 TESTE DE TOLERANCIA A INSULINA / HIPOGLICEMIANTES ORAIS,13,13,130260,2020-10,M
0202010767 DOSAGEM DE 25 HIDROXIVITAMINA D,852,852,130260,2020-10,M
0202020029 CONTAGEM DE PLAQUETAS,190,190,130260,2020-10,M
0202020037 CONTAGEM DE RETICULOCITOS,26,26,130260,2020-10,M
0202020061 DETERMINACAO DE SULFO-HEMOGLOBINA,1,1,130260,2020-10,M
0202020070 DETERMINACAO DE TEMPO DE COAGULACAO,469,469,130260,2020-10,M
0202020088 DETERMINACAO DE TEMPO DE LISE DA EUGLOBULINA,2,2,130260,2020-10,M
0202020096 DETERMINACAO DE TEMPO DE SANGRAMENTO -DUKE,444,444,130260,2020-10,M
0202020100 DETERMINACAO DE TEMPO DE SANGRAMENTO DE IVY,20,20,130260,2020-10,M
0202020126 DETERMINACAO DE TEMPO DE TROMBINA,13,13,130260,2020-10,M
0202020134 DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA),148,148,130260,2020-10,M
0202020142 DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP),387,387,130260,2020-10,M
0202020150 DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS),319,319,130260,2020-10,M
0202020169 DOSAGEM DE ANTICOAGULANTE CIRCULANTE,7,7,130260,2020-10,M
0202020177 DOSAGEM DE ANTITROMBINA III,2,2,130260,2020-10,M
0202020207 DOSAGEM DE FATOR V,3,3,130260,2020-10,M
0202020231 DOSAGEM DE FATOR VIII (INIBIDOR),1,1,130260,2020-10,M
0202020258 DOSAGEM DE FATOR X,1,1,130260,2020-10,M
0202020290 DOSAGEM DE FIBRINOGENIO,2,2,130260,2020-10,M
0202020304 DOSAGEM DE HEMOGLOBINA,6,6,130260,2020-10,M
0202020355 ELETROFORESE DE HEMOGLOBINA,7,7,130260,2020-10,M
"0202020363 ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)",104,104,130260,2020-10,M
0202020371 HEMATOCRITO,10,10,130260,2020-10,M
0202020380 HEMOGRAMA COMPLETO,5048,5048,130260,2020-10,M
0202020398 LEUCOGRAMA,115,115,130260,2020-10,M
0202020436 PESQUISA DE FILARIA,3,3,130260,2020-10,M
0202020444 PESQUISA DE HEMOGLOBINA S,2,2,130260,2020-10,M
0202020495 PROVA DE RETRACAO DO COAGULO,351,351,130260,2020-10,M
0202020509 PROVA DO LACO,361,361,130260,2020-10,M
0202020541 TESTE DIRETO DE ANTIGLOBULINA HUMANA (TAD),5,5,130260,2020-10,M
0202030024 CONTAGEM DE LINFOCITOS CD4/CD8,587,587,130260,2020-10,M
0202030040 DETECCAO DE ACIDOS NUCLEICOS DO HIV-1 (QUALITATIVO),2,2,130260,2020-10,M
0202030067 DETERMINACAO DE COMPLEMENTO (CH50),4,4,130260,2020-10,M
0202030075 DETERMINACAO DE FATOR REUMATOIDE,211,211,130260,2020-10,M
0202030083 DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA,393,393,130260,2020-10,M
0202030091 DOSAGEM DE ALFA-FETOPROTEINA,15,15,130260,2020-10,M
0202030105 DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA),1389,1389,130260,2020-10,M
0202030113 DOSAGEM DE BETA-2-MICROGLOBULINA,2,2,130260,2020-10,M
0202030121 DOSAGEM DE COMPLEMENTO C3,33,33,130260,2020-10,M
0202030130 DOSAGEM DE COMPLEMENTO C4,30,30,130260,2020-10,M
0202030156 DOSAGEM DE IMUNOGLOBULINA A (IGA),5,5,130260,2020-10,M
0202030164 DOSAGEM DE IMUNOGLOBULINA E (IGE),11,11,130260,2020-10,M
0202030180 DOSAGEM DE IMUNOGLOBULINA M (IGM),2,2,130260,2020-10,M
0202030199 DOSAGEM DE INIBIDOR DE C1-ESTERASE,1,1,130260,2020-10,M
0202030202 DOSAGEM DE PROTEINA C REATIVA,386,386,130260,2020-10,M
0202030237 IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR),146,146,130260,2020-10,M
0202030253 PESQUISA DE ANTICORPO IGG ANTICARDIOLIPINA,8,8,130260,2020-10,M
0202030261 PESQUISA DE ANTICORPO IGM ANTICARDIOLIPINA,7,7,130260,2020-10,M
0202030270 PESQUISA DE ANTICORPOS ANTI-DNA,20,20,130260,2020-10,M
0202030288 PESQUISA DE ANTICORPOS ANTI-HELICOBACTER PYLORI,11,11,130260,2020-10,M
0202030296 PESQUISA DE ANTICORPOS ANTI-HIV-1 (WESTERN BLOT),12,12,130260,2020-10,M
0202030300 PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA),807,807,130260,2020-10,M
0202030318 PESQUISA DE ANTICORPOS ANTI-HTLV-1 + HTLV-2,8,8,130260,2020-10,M
0202030326 PESQUISA DE ANTICORPOS ANTI-RIBONUCLEOPROTEINA (RNP),6,6,130260,2020-10,M
0202030342 PESQUISA DE ANTICORPOS ANTI-SM,5,5,130260,2020-10,M
0202030350 PESQUISA DE ANTICORPOS ANTI-SS-A (RO),7,7,130260,2020-10,M
0202030369 PESQUISA DE ANTICORPOS ANTI-SS-B (LA),7,7,130260,2020-10,M
