procedimento,2021,total,municipio_ibge,competencia,sexo
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),7,7,130260,2021-02,F
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,6,6,130260,2021-02,F
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,16,16,130260,2021-02,F
0101020104 ORIENTACAO DE HIGIENE BUCAL,31,31,130260,2021-02,F
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,7,7,130260,2021-02,F
0101040024 AVALIACAO ANTROPOMETRICA,5,5,130260,2021-02,F
0101050062 SESSAO DE ARTETERAPIA,1,1,130260,2021-02,F
0101050089 SESSAO DE MUSICOTERAPIA,21,21,130260,2021-02,F
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,3,3,130260,2021-02,F
0201010216 BIOPSIA DE FIGADO POR PUNCAO,1,1,130260,2021-02,F
0201010275 BIOPSIA DE MEDULA OSSEA,5,5,130260,2021-02,F
0201010372 BIOPSIA DE PELE E PARTES MOLES,25,25,130260,2021-02,F
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1,1,130260,2021-02,F
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,28,28,130260,2021-02,F
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,48,48,130260,2021-02,F
0201010666 BIOPSIA DO COLO UTERINO,44,44,130260,2021-02,F
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,93,93,130260,2021-02,F
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,532,532,130260,2021-02,F
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,12,12,130260,2021-02,F
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,75,75,130260,2021-02,F
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),288,288,130260,2021-02,F
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),3,3,130260,2021-02,F
0202010066 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS),1,1,130260,2021-02,F
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),14,14,130260,2021-02,F
0202010090 DOSAGEM DE 5-NUCLEOTIDASE,2,2,130260,2021-02,F
0202010104 DOSAGEM DE ACETONA,732,732,130260,2021-02,F
0202010112 DOSAGEM DE ACIDO ASCORBICO,16,16,130260,2021-02,F
0202010120 DOSAGEM DE ACIDO URICO,2337,2337,130260,2021-02,F
0202010147 DOSAGEM DE ALDOLASE,59,59,130260,2021-02,F
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,2,2,130260,2021-02,F
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,6,6,130260,2021-02,F
0202010171 DOSAGEM DE ALFA-2-MACROGLOBULINA,1,1,130260,2021-02,F
0202010180 DOSAGEM DE AMILASE,292,292,130260,2021-02,F
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,1171,1171,130260,2021-02,F
0202010210 DOSAGEM DE CALCIO,1238,1238,130260,2021-02,F
0202010228 DOSAGEM DE CALCIO IONIZAVEL,87,87,130260,2021-02,F
0202010252 DOSAGEM DE CERULOPLASMINA,3,3,130260,2021-02,F
0202010260 DOSAGEM DE CLORETO,118,118,130260,2021-02,F
0202010279 DOSAGEM DE COLESTEROL HDL,5817,5817,130260,2021-02,F
0202010287 DOSAGEM DE COLESTEROL LDL,5392,5392,130260,2021-02,F
0202010295 DOSAGEM DE COLESTEROL TOTAL,7079,7079,130260,2021-02,F
0202010309 DOSAGEM DE COLINESTERASE,3,3,130260,2021-02,F
0202010317 DOSAGEM DE CREATININA,6677,6677,130260,2021-02,F
