lista morb  cid-10,2021,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,2250,2250,130260,2021-08
Cólera,2,2,130260,2021-08
Febres tifóide e paratifóide,1,1,130260,2021-08
Shiguelose,1,1,130260,2021-08
Amebíase,7,7,130260,2021-08
Diarréia e gastroenterite origem infecc presum,453,453,130260,2021-08
Outras doenças infecciosas intestinais,94,94,130260,2021-08
Tuberculose respiratória,14,14,130260,2021-08
Tuberculose pulmonar,7,7,130260,2021-08
Outras tuberculoses respiratórias,7,7,130260,2021-08
Outras tuberculoses,4,4,130260,2021-08
Tuberculose óssea e das articulações,1,1,130260,2021-08
Tuberculose miliar,2,2,130260,2021-08
Restante de outras tuberculoses,1,1,130260,2021-08
Hanseníase [lepra],2,2,130260,2021-08
Outros tétanos,1,1,130260,2021-08
Infecção meningocócica,2,2,130260,2021-08
Septicemia,153,153,130260,2021-08
Outras doenças bacterianas,258,258,130260,2021-08
Leptospirose não especificada,5,5,130260,2021-08
Restante de outras doenças bacterianas,253,253,130260,2021-08
Sífilis congênita,45,45,130260,2021-08
Outras infecções com transm predominant sexual,2,2,130260,2021-08
Febres recorrentes,4,4,130260,2021-08
Encefalite viral,3,3,130260,2021-08
Outras febre p/arbovírus e febr hemorr p/vírus,65,65,130260,2021-08
Dengue [dengue clásssico],60,60,130260,2021-08
Febre hemorrágica devida ao vírus da dengue,3,3,130260,2021-08
Restante outr febr arbovírus febr hemor vírus,2,2,130260,2021-08
Infecções pelo vírus do herpes,2,2,130260,2021-08
Varicela e herpes zoster,3,3,130260,2021-08
Hepatite aguda B,1,1,130260,2021-08
Outras hepatites virais,12,12,130260,2021-08
Doença pelo vírus da imunodefic humana [HIV],151,151,130260,2021-08
Caxumba [parotidite epidêmica],1,1,130260,2021-08
Outras doenças virais,918,918,130260,2021-08
Meningite viral,3,3,130260,2021-08
Restante de outras doenças virais,915,915,130260,2021-08
Micoses,4,4,130260,2021-08
Malária,28,28,130260,2021-08
Malária por Plasmodium falciparum,6,6,130260,2021-08
Malária por Plasmodium vivax,15,15,130260,2021-08
Outras formas malária conf exames parasitológ,2,2,130260,2021-08
Malária não especificada,5,5,130260,2021-08
Leishmaniose,2,2,130260,2021-08
Leishmaniose não especificada,2,2,130260,2021-08
Outras helmintíases,5,5,130260,2021-08
Seqüelas de hanseníase [lepra],1,1,130260,2021-08
Outras doenças infecciosas e parasitárias,11,11,130260,2021-08
02 Neoplasias (tumores),537,537,130260,2021-08
Neoplasia maligna do lábio cavid oral e faringe,3,3,130260,2021-08
Neoplasia maligna do esôfago,5,5,130260,2021-08
Neoplasia maligna do estômago,20,20,130260,2021-08
Neoplasia maligna do cólon,6,6,130260,2021-08
Neopl malig junção retoss reto ânus canal anal,11,11,130260,2021-08
Neopl malig fígado e vias biliares intra-hepát,4,4,130260,2021-08
Neoplasia maligna do pâncreas,1,1,130260,2021-08
Outras neoplasias malignas de órgãos digestivos,2,2,130260,2021-08
Neoplasia maligna de traquéia brônquios e pulm,11,11,130260,2021-08
Outras neopl malig órg respirat e intratorác,5,5,130260,2021-08
Neoplasia maligna do osso e cartilagem articul,4,4,130260,2021-08
Outras neoplasias malignas da pele,7,7,130260,2021-08
Neopl malig do tecido mesotelial e tec moles,5,5,130260,2021-08
Neoplasia maligna da mama,43,43,130260,2021-08
Neoplasia maligna do colo do útero,21,21,130260,2021-08
Neopl malig outr porções e porç não espec útero,8,8,130260,2021-08
Outras neopl malignas órgãos genitais femininos,15,15,130260,2021-08
Neoplasia maligna da próstata,5,5,130260,2021-08
Outras neopl malignas órgãos genit masculinos,2,2,130260,2021-08
Neoplasia maligna da bexiga,4,4,130260,2021-08
Outras neoplasias malignas do trato urinário,5,5,130260,2021-08
Neoplasia maligna dos olhos e anexos,2,2,130260,2021-08
Neoplasia maligna do encéfalo,6,6,130260,2021-08
Neopl malig outras partes sistema nerv central,1,1,130260,2021-08
Neopl malig outr local mal def secun e não esp,27,27,130260,2021-08
Doença de Hodgkin,2,2,130260,2021-08
